gauge_id,mean_sp_baseline,mean_sp_future,delta_mean_sp,max_sp_baseline,max_sp_future,delta_max_sp,rcp
23001,1.379131111111111,0.1699546851851852,-1.209176425925926,92.8423,33.8818,-58.960499999999996,rcp60
23004,1.5622804265873018,0.2355307685185185,-1.3267496580687834,98.65465,47.1202,-51.53445000000001,rcp60
23006,2.221622544642857,0.33581984722222225,-1.8858026974206348,111.83605,59.643299999999996,-52.192750000000004,rcp60
23007,1.641626423611111,0.2567483935185185,-1.3848780300925925,99.28524999999999,47.3665,-51.91874999999999,rcp60
23008,1.5122968105158732,0.19673411574074073,-1.3155626947751324,106.9632,45.948949999999996,-61.014250000000004,rcp60
23011,2.2001774801587306,0.33970464814814816,-1.8604728320105823,117.22344999999999,59.71015,-57.51329999999999,rcp60
23016,0.13943106646825396,0.0039254351851851855,-0.13550563128306878,27.226300000000002,6.9628499999999995,-20.263450000000002,rcp60
24001,2.0384739186507934,0.33767974074074075,-1.7007941779100526,109.90535,51.446349999999995,-58.459,rcp60
24003,3.1475882688492067,0.6020243055555556,-2.545563963293651,133.73925,79.56255,-54.1767,rcp60
24004,1.5812998611111113,0.22742339814814816,-1.3538764629629632,107.5757,43.77675,-63.79895,rcp60
24005,0.8880336458333333,0.07623143981481481,-0.8118022060185185,92.9779,24.212699999999998,-68.76520000000001,rcp60
25001,2.265699751984127,0.4083484444444444,-1.8573513075396826,114.89224999999999,61.428349999999995,-53.463899999999995,rcp60
25003,5.053450029761905,1.2017614953703704,-3.8516885343915344,167.5491,131.22575,-36.323350000000005,rcp60
25006,2.235109280753968,0.47853549074074075,-1.7565737900132272,112.57235,69.6395,-42.93285,rcp60
25012,2.693408442460317,0.40252760648148145,-2.2908808359788355,131.10045000000002,63.7461,-67.35435000000003,rcp60
25020,0.6906622668650794,0.05491900462962963,-0.6357432622354497,80.8383,21.21835,-59.61995,rcp60
25021,0.7468040823412698,0.05387166203703703,-0.6929324203042329,82.18405,19.18825,-62.9958,rcp60
25029,0.5969136755952382,0.03828960648148148,-0.5586240691137567,55.807950000000005,20.3935,-35.41445,rcp60
26003,0.6003962301587301,0.030080518518518517,-0.5703157116402116,46.8137,17.5223,-29.291399999999996,rcp60
26005,6.273749201388888,0.6695205601851852,-5.604228641203703,129.02495,58.11945,-70.90549999999999,rcp60
26006,1.203877748015873,0.12637949074074076,-1.0774982572751324,89.42939999999999,33.170249999999996,-56.25914999999999,rcp60
26008,0.2013180902777778,0.008371620370370371,-0.19294646990740744,36.54575,7.9178999999999995,-28.62785,rcp60
26009,1.2588899355158727,0.12156853703703704,-1.1373213984788357,91.04795,35.0904,-55.95755,rcp60
27001,0.07282180555555556,0.0005703657407407406,-0.07225143981481483,24.5229,1.3667,-23.1562,rcp60
27002,1.3044313839285715,0.14826963425925926,-1.1561617496693122,86.4443,35.7672,-50.677099999999996,rcp60
27003,0.5573669692460318,0.04418696296296297,-0.5131800062830688,56.92165,21.36055,-35.561099999999996,rcp60
27006,0.7531287450396825,0.05953639814814815,-0.6935923468915344,77.1999,26.232750000000003,-50.96715,rcp60
